Pays,Lat,Long,Date,Deces
Belgique,50.728141,4.511679,2020-04-13,3903
,,,,
Belgique,50.728141,4.511679,2020-04-12,3600
,,,,
Belgique,50.728141,4.511679,2020-04-11,3346
,,,,
Belgique,50.728141,4.511679,2020-04-10,3019
,,,,
Belgique,50.728141,4.511679,2020-04-09,2523
,,,,
Belgique,50.728141,4.511679,2020-04-08,2240
,,,,
Belgique,50.728141,4.511679,2020-04-07,2035
,,,,
Belgique,50.728141,4.511679,2020-04-06,1632
,,,,
Belgique,50.728141,4.511679,2020-04-05,1447
,,,,
Belgique,50.728141,4.511679,2020-04-04,1283
,,,,
Belgique,50.728141,4.511679,2020-04-03,1143
,,,,
Belgique,50.728141,4.511679,2020-04-02,1011
,,,,
Belgique,50.728141,4.511679,2020-04-01,828
,,,,
Belgique,50.728141,4.511679,2020-03-31,705
,,,,
Belgique,50.728141,4.511679,2020-03-30,513
,,,,
Belgique,50.728141,4.511679,2020-03-29,431
,,,,
Belgique,50.728141,4.511679,2020-03-28,353
,,,,
Belgique,50.728141,4.511679,2020-03-27,289
,,,,
Belgique,50.728141,4.511679,2020-03-26,220
,,,,
Belgique,50.728141,4.511679,2020-03-25,178
,,,,
Belgique,50.728141,4.511679,2020-03-24,122
,,,,
Belgique,50.728141,4.511679,2020-03-23,88
,,,,
Belgique,50.728141,4.511679,2020-03-22,75
,,,,
Belgique,50.728141,4.511679,2020-03-21,67
,,,,
Belgique,50.728141,4.511679,2020-03-20,37
,,,,
Belgique,50.728141,4.511679,2020-03-19,21
,,,,
Belgique,50.728141,4.511679,2020-03-18,14
,,,,
Belgique,50.728141,4.511679,2020-03-17,10
,,,,
Belgique,50.728141,4.511679,2020-03-16,5
,,,,
Belgique,50.728141,4.511679,2020-03-15,4
,,,,
Belgique,50.728141,4.511679,2020-03-14,4
,,,,
Belgique,50.728141,4.511679,2020-03-13,3
,,,,
Belgique,50.728141,4.511679,2020-03-12,3
,,,,
Belgique,50.728141,4.511679,2020-03-11,3
,,,,
Belgique,50.728141,4.511679,2020-03-10,0
,,,,
Belgique,50.728141,4.511679,2020-03-09,0
,,,,
Belgique,50.728141,4.511679,2020-03-08,0
,,,,
Belgique,50.728141,4.511679,2020-03-07,0
,,,,
Belgique,50.728141,4.511679,2020-03-06,0
,,,,
Belgique,50.728141,4.511679,2020-03-05,0
,,,,
Belgique,50.728141,4.511679,2020-03-04,0
,,,,
Belgique,50.728141,4.511679,2020-03-03,0
,,,,
Belgique,50.728141,4.511679,2020-03-02,0
,,,,
Belgique,50.728141,4.511679,2020-03-01,0
,,,,
Belgique,50.728141,4.511679,2020-02-29,0
,,,,
Belgique,50.728141,4.511679,2020-02-28,0
,,,,
Belgique,50.728141,4.511679,2020-02-27,0
,,,,
Belgique,50.728141,4.511679,2020-02-26,0
,,,,
Belgique,50.728141,4.511679,2020-02-25,0
,,,,
Belgique,50.728141,4.511679,2020-02-24,0
,,,,
Belgique,50.728141,4.511679,2020-02-23,0
,,,,
Belgique,50.728141,4.511679,2020-02-22,0
,,,,
Belgique,50.728141,4.511679,2020-02-21,0
,,,,
Belgique,50.728141,4.511679,2020-02-20,0
,,,,
Belgique,50.728141,4.511679,2020-02-19,0
,,,,
Belgique,50.728141,4.511679,2020-02-18,0
,,,,
Belgique,50.728141,4.511679,2020-02-17,0
,,,,
Belgique,50.728141,4.511679,2020-02-16,0
,,,,
Belgique,50.728141,4.511679,2020-02-15,0
,,,,
Belgique,50.728141,4.511679,2020-02-14,0
,,,,
Belgique,50.728141,4.511679,2020-02-13,0
,,,,
Belgique,50.728141,4.511679,2020-02-12,0
,,,,
Belgique,50.728141,4.511679,2020-02-11,0
,,,,
Belgique,50.728141,4.511679,2020-02-10,0
,,,,
Belgique,50.728141,4.511679,2020-02-09,0
,,,,
Belgique,50.728141,4.511679,2020-02-08,0
,,,,
Belgique,50.728141,4.511679,2020-02-07,0
,,,,
Belgique,50.728141,4.511679,2020-02-06,0
,,,,
Belgique,50.728141,4.511679,2020-02-05,0
,,,,
Belgique,50.728141,4.511679,2020-02-04,0
,,,,
Bulgarie,42.583782,25.357713,2020-04-28,58
,,,,
Bulgarie,42.583782,25.357713,2020-04-27,58
,,,,
Bulgarie,42.583782,25.357713,2020-04-26,56
,,,,
Bulgarie,42.583782,25.357713,2020-04-25,55
,,,,
Bulgarie,42.583782,25.357713,2020-04-24,54
,,,,
Bulgarie,42.583782,25.357713,2020-04-23,52
,,,,
Bulgarie,42.583782,25.357713,2020-04-22,49
,,,,
Bulgarie,42.583782,25.357713,2020-04-21,45
,,,,
Bulgarie,42.583782,25.357713,2020-04-20,43
,,,,
Bulgarie,42.583782,25.357713,2020-04-19,42
,,,,
Bulgarie,42.583782,25.357713,2020-04-18,41
,,,,
Bulgarie,42.583782,25.357713,2020-04-17,41
,,,,
Bulgarie,42.583782,25.357713,2020-04-16,38
,,,,
Bulgarie,42.583782,25.357713,2020-04-15,36
,,,,
Bulgarie,42.583782,25.357713,2020-04-14,35
,,,,
Bulgarie,42.583782,25.357713,2020-04-13,32
,,,,
Bulgarie,42.583782,25.357713,2020-04-12,29
,,,,
Bulgarie,42.583782,25.357713,2020-04-11,28
,,,,
Bulgarie,42.583782,25.357713,2020-04-10,25
,,,,
Bulgarie,42.583782,25.357713,2020-04-09,24
,,,,
Bulgarie,42.583782,25.357713,2020-04-08,24
,,,,
Bulgarie,42.583782,25.357713,2020-04-07,23
,,,,
Bulgarie,42.583782,25.357713,2020-04-06,22
,,,,
Bulgarie,42.583782,25.357713,2020-04-05,20
,,,,
Bulgarie,42.583782,25.357713,2020-04-04,17
,,,,
Bulgarie,42.583782,25.357713,2020-04-03,14
,,,,
Bulgarie,42.583782,25.357713,2020-04-02,10
,,,,
Bulgarie,42.583782,25.357713,2020-04-01,10
,,,,
Bulgarie,42.583782,25.357713,2020-03-31,8
,,,,
Bulgarie,42.583782,25.357713,2020-03-30,8
,,,,
Bulgarie,42.583782,25.357713,2020-03-29,8
,,,,
Bulgarie,42.583782,25.357713,2020-03-28,7
,,,,
Bulgarie,42.583782,25.357713,2020-03-27,3
,,,,
Bulgarie,42.583782,25.357713,2020-03-26,3
,,,,
Bulgarie,42.583782,25.357713,2020-03-25,3
,,,,
Bulgarie,42.583782,25.357713,2020-03-24,3
,,,,
Bulgarie,42.583782,25.357713,2020-03-23,3
,,,,
Bulgarie,42.583782,25.357713,2020-03-22,3
,,,,
Bulgarie,42.583782,25.357713,2020-03-21,3
,,,,
Bulgarie,42.583782,25.357713,2020-03-20,3
,,,,
Bulgarie,42.583782,25.357713,2020-03-19,3
,,,,
Bulgarie,42.583782,25.357713,2020-03-18,2
,,,,
Bulgarie,42.583782,25.357713,2020-03-17,2
,,,,
Bulgarie,42.583782,25.357713,2020-03-16,2
,,,,
Bulgarie,42.583782,25.357713,2020-03-15,2
,,,,
Bulgarie,42.583782,25.357713,2020-03-14,2
,,,,
Bulgarie,42.583782,25.357713,2020-03-13,1
,,,,
Bulgarie,42.583782,25.357713,2020-03-12,1
,,,,
Bulgarie,42.583782,25.357713,2020-03-11,1
,,,,
Bulgarie,42.583782,25.357713,2020-03-10,0
,,,,
Bulgarie,42.583782,25.357713,2020-03-09,0
,,,,
Bulgarie,42.583782,25.357713,2020-03-08,0
,,,,
Chypre,34.982301,33.145128,2020-04-28,15
,,,,
Chypre,34.982301,33.145128,2020-04-27,15
,,,,
Chypre,34.982301,33.145128,2020-04-26,14
,,,,
Chypre,34.982301,33.145128,2020-04-25,14
,,,,
Chypre,34.982301,33.145128,2020-04-24,14
,,,,
Chypre,34.982301,33.145128,2020-04-23,13
,,,,
Chypre,34.982301,33.145128,2020-04-22,13
,,,,
Chypre,34.982301,33.145128,2020-04-21,12
,,,,
Chypre,34.982301,33.145128,2020-04-20,12
,,,,
Chypre,34.982301,33.145128,2020-04-19,12
,,,,
Chypre,34.982301,33.145128,2020-04-18,12
,,,,
Chypre,34.982301,33.145128,2020-04-17,12
,,,,
Chypre,34.982301,33.145128,2020-04-16,12
,,,,
Chypre,34.982301,33.145128,2020-04-15,12
,,,,
